Codigo Empresa,Nombre Empresa,Ano Creacion,Direccion,Facturacion Anual,Pagina Web,Email,Codigo Pais,,
1,Algoworks,2009,(California; Suunyvale; 204),337,https://www.algoworks.com/,sales@algoworks.com,1,,"+1-844-96-WORKS (96757), +1-877-284-1028 (Toll Free)"
2,Orangesoft,2011,(California; San Francisco; 580),47.3,https://orangesoft.co/,hello@orangesoft.co,1,,
3,Alphabet,1998,(California; Mountain View; 30),161000,https://abc.xyz/,investor-relations@abc.xyz,1,,
4,Meta,2004,(California; Menlo Park; 105),85000,https://meta.company/,press@meta.company,1,,
5,Cabify,2011,(Madrid; Calle Pradillo; 42),611,https://cabify.com/es,info@cabify.es,6,,
6,Deutsche Bank AG,1870,(Frankfurt; Hartzenbuch Strasse; 44),12500,https://flow.db.com,deutsche.bank@db.com,4,,
7,L'Equipe ,1946,(Paris; Bd de la Republique; 2),28.5,https://www.lequipe.fr/,abo@lequipe.fr,8,,
8,ByteDance,2012,(Beijing; Zhichun Road; 48),8450.7,https://www.bytedance.com/en/,press@bytedance.com,2,,
9,Tencent,1998,(Shenzhen; Second Road;55),73560.0,https://www.tencent.com/,customer_service@tencent.com,2,,
10,Spotify Technology,2006,(New York; Greenwich Street; 150),5325,https://www.spotify.com/,office@spotify.com,5,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,"+1-844-96-WORKS (96757), +1-877-284-1028 (Toll Free)",
